date,RH,atmp,ltmp,d18O_pcpn,d18O_lake,h,delta_epsilon,alpha,epsilon,d18O_atm,d18O_evap
11/30/2016,83,3.444444,10.744444,-13.8,-9.3,50.288511,7.108743,1.010633,17.629801,-24.321058,-28.957899
12/31/2016,82,-8.530466,0,0,-9.3,43.062367,8.142081,1.011719,19.72535,-11.583269,-41.435209
1/31/2017,88,-9.05914,0,0,-9.3,44.334654,7.960144,1.011719,19.543413,-11.583269,-41.799005
2/28/2017,88.5,-5.396825,0,0,-9.3,59.20677,5.833432,1.011719,17.416701,-11.583269,-47.734492
3/31/2017,83,-3.897849,0,-22.8,-9.3,62.201884,5.405131,1.011719,16.988399,-34.383269,-12.503405
4/30/2017,86,5.333333,5.633333,-14.8,-9.3,84.224519,2.255894,1.011133,13.266803,-25.810909,-4.532744
5/31/2017,86.5,10.080645,10.180645,-10.7,-9.3,85.922819,2.013037,1.010687,12.58682,-21.273783,-24.578587
6/30/2017,83.5,17.583333,19.683333,-6.3,-9.3,73.217646,3.829877,1.009821,13.55563,-16.025753,-40.608733
7/31/2017,79,18.136201,20.936201,-5.1,-9.3,66.384378,4.807034,1.009714,14.427132,-14.720098,-40.666609
8/31/2017,80.5,15.654122,19.254122,-5.3,-9.3,64.128234,5.129663,1.009859,14.891928,-15.062265,-39.692402
9/30/2017,75.5,14.703704,20.103704,-8.4,-9.3,53.673406,6.624703,1.009785,16.314854,-18.090151,-33.657055
10/31/2017,83,7.831541,12.831541,-11.1,-9.3,59.418201,5.803197,1.010436,16.131806,-21.428609,-30.61858
,,,,,,,,,,,
